Frame,Visibility,X,Y
585,1,322,111
586,1,324,116
587,1,324,116
588,1,326,123
589,1,326,130
590,1,322,146
591,1,322,160
592,1,320,170
593,1,320,170
594,1,319,180
595,1,317,190
596,1,315,200
597,1,315,208
598,1,313,218
599,1,313,218
600,1,312,228
601,1,312,240
602,1,312,250
603,1,312,256
604,1,345,236
605,1,345,235
606,0,0,0
607,0,0,0
608,1,356,310
609,1,344,295
610,1,436,185
611,0,0,0
612,1,446,181
613,1,457,178
614,1,468,178
615,1,478,176
616,1,485,178
617,1,487,178
618,1,496,180
619,1,503,183
620,1,510,185
621,1,517,190
622,1,524,193
623,1,524,193
624,1,530,198
625,1,535,203
626,1,542,210
627,1,546,216
628,1,553,210
629,1,553,208
630,1,556,195
631,1,555,190
632,1,556,183
633,1,558,180
634,1,560,178
635,1,560,176
636,1,562,176
637,1,562,176
638,1,563,176
639,1,563,178
640,1,565,181
641,1,565,181
642,1,565,185
643,1,567,190
644,1,567,195
645,1,567,201
646,1,569,210
647,1,569,210
648,1,569,218
649,1,569,226
650,1,569,236
651,1,530,225
652,0,0,0
653,0,0,0
654,1,469,203
655,1,454,200
656,1,438,196
657,1,429,195
658,1,418,193
659,1,418,193
660,1,411,195
661,1,404,196
662,1,399,196
663,1,393,200
664,1,390,203
665,1,390,201
666,1,386,196
667,1,390,190
668,1,388,190
669,1,388,190
670,1,388,190
671,1,388,190
672,1,388,190
673,1,386,193
674,1,386,195
675,1,386,200
676,1,386,203
677,1,386,203
678,1,386,208
679,1,386,215
680,1,384,221
681,1,384,230
682,1,384,236
683,1,384,236
684,1,384,246
685,1,384,256
686,1,384,266
687,1,384,278
688,1,384,290
689,1,384,290
690,1,383,303
691,1,384,313
692,1,404,253
693,1,420,213
694,0,0,0
695,0,0,0
696,1,443,151
697,1,454,128
698,1,461,110
699,1,468,93
700,1,475,83
701,1,475,83
702,1,482,71
703,1,487,61
704,1,493,55
705,1,496,50
706,1,501,45
707,1,501,45
708,1,505,41
709,1,508,40
710,1,514,38
711,1,517,36
712,1,420,223
713,1,521,38
714,1,524,40
715,1,528,43
716,1,530,45
717,1,532,50
718,1,535,53
719,1,535,55
720,1,539,60
721,1,540,65
722,1,542,71
723,1,546,80
724,1,547,86
725,1,549,86
726,1,551,95
727,1,553,106
728,1,547,120
729,1,544,130
730,1,540,141
731,1,540,141
732,1,539,151
733,1,537,160
734,1,535,170
735,1,532,180
736,1,532,191
737,1,532,191
738,1,528,201
739,1,528,213
740,1,526,223
741,1,524,236
742,1,524,246
743,1,524,246
744,1,521,261
745,1,521,275
746,1,519,286
747,0,0,0
748,1,512,291
749,1,512,291
750,0,0,0
751,1,500,248
752,1,496,231
753,1,491,218
754,1,487,210
755,1,485,210
756,1,482,201
757,1,475,193
758,1,473,188
759,1,469,183
760,1,466,180
761,1,466,180
762,1,464,178
763,1,461,176
764,1,459,176
765,1,457,176
766,1,454,176
767,1,454,176
768,1,452,180
769,1,448,183
770,1,446,186
771,1,448,191
772,1,443,198
773,0,0,0
774,0,0,0
775,1,423,185
776,1,414,183
777,1,407,180
778,1,402,180
779,1,400,180
780,1,395,180
781,1,391,178
782,1,388,180
783,1,383,183
784,1,377,186
785,1,379,186
786,1,372,191
787,1,368,196
788,1,365,203
789,1,358,211
790,1,356,220
791,1,354,220
792,1,351,230
793,1,347,238
794,1,342,250
795,1,338,258
796,1,336,265
797,1,336,265
798,1,329,251
799,1,331,243
800,1,326,236
801,1,322,228
802,1,322,220
803,1,322,218
804,1,322,215
805,1,322,211
806,1,320,211
807,1,319,211
808,1,317,210
809,1,315,210
810,1,315,210
811,1,313,210
812,1,312,211
813,1,312,215
814,1,312,218
815,1,312,218
816,1,312,223
817,1,312,230
818,1,312,233
819,1,312,240
820,1,312,240
821,1,312,241
822,1,312,245
823,1,313,250
824,1,315,256
825,1,315,263
826,1,317,270
827,1,317,270
828,1,317,280
829,1,317,286
830,1,317,296
831,1,319,303
832,1,319,300
833,1,319,300
834,1,320,298
835,1,320,298
836,1,320,298
837,1,322,300
838,1,322,300
839,1,322,301
840,1,320,301
841,1,319,301
842,1,317,301
843,1,317,301
844,1,315,303
845,1,315,303
846,1,313,303
847,1,313,303
848,1,313,303
849,1,313,303
850,1,312,303
851,1,312,303
852,1,312,303
853,1,312,303
854,1,312,303
855,1,312,303
856,1,310,303
857,1,310,303
858,1,310,303
859,1,310,303
860,1,310,303
861,1,310,303
862,1,310,303
863,1,310,303
864,1,312,305
865,1,312,305
866,1,312,305
867,1,312,305
868,1,312,305
869,1,312,305
870,1,599,41
871,1,599,38
872,1,599,35
873,1,599,33
874,1,599,33
875,1,601,33
876,1,601,33
877,1,601,35
878,1,601,36
879,1,599,38
880,1,599,40
881,1,599,45
882,1,599,53
883,1,597,60
884,1,595,68
885,1,595,70
886,1,595,78
887,1,594,86
888,1,592,100
889,1,594,111
890,1,592,125
891,1,592,123
892,0,0,0
893,1,588,153
894,1,588,166
895,1,587,181
896,1,585,235
897,1,585,235
898,1,505,190
899,1,468,185
900,1,443,185
901,1,422,185
902,1,407,186
903,1,407,186
904,1,393,186
905,1,383,188
906,1,374,191
907,1,367,195
908,1,361,198
909,1,360,198
910,1,354,203
911,0,0,0
912,1,344,211
913,1,340,203
914,1,340,193
915,1,340,191
916,1,338,183
917,1,340,176
918,1,338,171
919,1,336,166
920,1,335,163
921,1,335,163
922,1,335,161
923,1,333,160
924,1,333,158
925,1,331,160
926,1,331,160
927,1,331,161
928,1,331,163
929,1,329,166
930,1,329,171
931,1,328,176
932,1,328,183
933,1,328,183
934,1,326,190
935,1,326,198
936,1,326,208
937,1,326,216
938,1,324,226
939,1,324,226
940,1,324,236
941,1,322,248
942,1,322,260
943,1,322,273
944,1,354,230
945,1,354,230
946,1,360,200
947,1,368,163
948,1,381,135
949,1,393,110
950,1,404,90
951,1,404,90
952,1,413,71
953,1,422,56
954,1,429,43
955,1,436,33
956,1,443,25
957,1,443,25
958,1,399,170
959,1,455,10
960,1,462,6
961,1,468,3
962,1,471,1
963,1,473,1
964,0,0,0
965,0,0,0
966,0,0,0
967,1,491,1
968,1,494,3
969,1,496,3
970,1,500,5
971,1,503,8
972,1,507,13
973,1,510,18
974,1,514,23
975,1,516,23
976,1,517,30
977,1,521,36
978,1,524,45
979,1,526,53
980,1,530,61
981,1,530,61
982,1,526,61
983,1,510,33
984,1,496,13
985,1,487,1
986,0,0,0
987,0,0,0
988,0,0,0
989,0,0,0
990,0,0,0
